,Latitud,Longitud,LST_Day_1km,date
0,21.35146,-88.28973,15109,20210920
1,21.35146,-88.28973,15044,20210924
2,21.35146,-88.28973,14978,20210925
3,21.35146,-88.28973,15233,20210929
4,21.35146,-88.28973,15111,20211003
5,21.35146,-88.28973,15062,20211004
6,21.35146,-88.28973,14998,20211006
7,21.35146,-88.28973,15080,20211011
8,21.35146,-88.28973,15135,20211012
9,21.35146,-88.28973,15098,20211014
10,21.35146,-88.28973,15205,20211015
11,21.35146,-88.28973,14958,20211025
12,21.35146,-88.28973,15064,20211026
13,21.35146,-88.28973,15228,20211102
14,21.35146,-88.28973,14840,20211103
15,21.35146,-88.28973,15151,20211110
16,21.35146,-88.28973,15178,20211111
17,21.35146,-88.28973,15117,20211116
18,21.35146,-88.28973,15008,20211118
19,21.35146,-88.28973,14992,20211121
20,21.35146,-88.28973,15139,20211125
21,21.35146,-88.28973,14888,20211126
22,21.35146,-88.28973,15116,20211127
23,21.35146,-88.28973,15058,20211204
24,21.35146,-88.28973,15097,20211205
25,21.35146,-88.28973,15063,20211206
26,21.35146,-88.28973,15137,20211207
27,21.35146,-88.28973,15060,20211208
28,21.35146,-88.28973,15208,20211209
29,21.35146,-88.28973,15125,20211218
30,21.35146,-88.28973,14934,20211222
31,21.35146,-88.28973,14933,20211223
32,21.35146,-88.28973,14978,20211224
33,21.35146,-88.28973,15102,20211225
34,21.35146,-88.28973,14972,20211227
35,21.35146,-88.28973,15259,20220101
36,21.35146,-88.28973,15084,20220107
37,21.35146,-88.28973,14689,20220108
38,21.35146,-88.28973,14447,20220112
39,21.35146,-88.28973,15144,20220115
40,21.35146,-88.28973,14911,20220117
41,21.35146,-88.28973,14951,20220118
42,21.35146,-88.28973,15165,20220119
43,21.35146,-88.28973,14933,20220121
44,21.35146,-88.28973,15097,20220124
45,21.35146,-88.28973,15052,20220131
46,21.35146,-88.28973,14996,20220201
47,21.35146,-88.28973,15131,20220204
48,21.35146,-88.28973,14882,20220213
49,21.35146,-88.28973,14897,20220216
50,21.35146,-88.28973,15135,20220220
51,21.35146,-88.28973,15239,20220222
52,21.35146,-88.28973,15182,20220225
53,21.35146,-88.28973,15167,20220227
54,21.35146,-88.28973,15134,20220301
55,21.35146,-88.28973,15199,20220303
56,21.35146,-88.28973,14976,20220306
57,21.35146,-88.28973,15063,20220307
58,21.35146,-88.28973,15305,20220308
59,21.35146,-88.28973,15449,20220310
60,21.35146,-88.28973,15376,20220311
61,21.35146,-88.28973,15398,20220315
62,21.35146,-88.28973,15213,20220317
63,21.35146,-88.28973,15423,20220319
64,21.35146,-88.28973,15209,20220320
65,21.35146,-88.28973,15320,20220321
66,21.35146,-88.28973,15492,20220322
67,21.35146,-88.28973,15325,20220323
68,21.35146,-88.28973,15296,20220326
69,21.35146,-88.28973,15173,20220327
70,21.35146,-88.28973,15474,20220328
71,21.35146,-88.28973,15411,20220329
72,21.35146,-88.28973,15523,20220331
73,21.35146,-88.28973,15670,20220402
74,21.35146,-88.28973,15483,20220403
75,21.35146,-88.28973,15613,20220404
76,21.35146,-88.28973,15505,20220405
77,21.35146,-88.28973,15491,20220406
78,21.35146,-88.28973,15609,20220407
79,21.35146,-88.28973,15519,20220409
80,21.35146,-88.28973,15739,20220411
81,21.35146,-88.28973,15749,20220416
82,21.35146,-88.28973,15725,20220418
83,21.35146,-88.28973,15148,20220419
84,21.35146,-88.28973,15462,20220420
85,21.35146,-88.28973,15619,20220423
86,21.35146,-88.28973,15632,20220425
87,21.35146,-88.28973,15472,20220429
88,21.35146,-88.28973,15482,20220430
89,21.35146,-88.28973,15303,20220502
90,21.35146,-88.28973,15588,20220506
91,21.35146,-88.28973,15645,20220508
92,21.35146,-88.28973,15537,20220509
93,21.35146,-88.28973,15553,20220511
94,21.35146,-88.28973,15711,20220513
95,21.35146,-88.28973,15653,20220514
96,21.35146,-88.28973,15601,20220515
97,21.35146,-88.28973,15580,20220516
98,21.35146,-88.28973,15456,20220517
99,21.35146,-88.28973,15445,20220520
100,21.35146,-88.28973,15567,20220527
101,21.35146,-88.28973,15356,20220605
102,21.35146,-88.28973,15210,20220610
103,21.35146,-88.28973,15200,20220611
104,21.35146,-88.28973,15390,20220612
105,21.35146,-88.28973,15236,20220614
106,21.35146,-88.28973,15152,20220619
107,21.35146,-88.28973,15035,20220624
108,21.35146,-88.28973,15187,20220626
109,21.35146,-88.28973,15178,20220628
110,21.35146,-88.28973,15069,20220703
111,21.35146,-88.28973,15127,20220704
112,21.35146,-88.28973,15178,20220705
113,21.35146,-88.28973,15246,20220707
114,21.35146,-88.28973,15011,20220708
115,21.35146,-88.28973,14990,20220710
116,21.35146,-88.28973,15196,20220716
117,21.35146,-88.28973,15226,20220718
118,21.35146,-88.28973,15215,20220719
119,21.35146,-88.28973,15385,20220721
120,21.35146,-88.28973,15157,20220725
121,21.35146,-88.28973,15108,20220726
122,21.35146,-88.28973,15018,20220727
123,21.35146,-88.28973,14729,20220730
124,21.35146,-88.28973,15221,20220801
125,21.35146,-88.28973,15176,20220803
126,21.35146,-88.28973,15123,20220804
127,21.35146,-88.28973,15172,20220806
128,21.35146,-88.28973,15190,20220808
129,21.35146,-88.28973,15023,20220810
130,21.35146,-88.28973,14999,20220813
131,21.35146,-88.28973,15176,20220815
132,21.35146,-88.28973,15225,20220817
133,21.35146,-88.28973,15053,20220819
134,21.35146,-88.28973,15089,20220820
135,21.35146,-88.28973,15137,20220822
136,21.35146,-88.28973,15128,20220824
137,21.35146,-88.28973,14949,20220827
138,21.35146,-88.28973,15000,20220829
139,21.35146,-88.28973,15124,20220905
140,21.35146,-88.28973,15034,20220906
141,21.35146,-88.28973,15147,20220907
142,21.35146,-88.28973,15014,20220916
143,21.35146,-88.28973,15161,20220918
144,21.35146,-88.28973,15085,20220923
145,21.35146,-88.28973,14883,20220926
146,21.35146,-88.28973,14988,20220927
147,21.35146,-88.28973,14965,20220928
148,21.35146,-88.28973,14987,20220930
149,21.35146,-88.28973,15000,20221001
150,21.35146,-88.28973,15141,20221002
151,21.35146,-88.28973,15085,20221004
152,21.35146,-88.28973,15169,20221005
153,21.35146,-88.28973,15109,20221006
154,21.35146,-88.28973,15110,20221007
155,21.35146,-88.28973,15078,20221025
156,21.35146,-88.28973,15030,20221026
157,21.35146,-88.28973,14948,20221028
158,21.35146,-88.28973,15144,20221030
159,21.35146,-88.28973,15132,20221104
160,21.35146,-88.28973,14979,20221105
161,21.35146,-88.28973,15133,20221106
162,21.35146,-88.28973,15035,20221108
163,21.35146,-88.28973,15036,20221109
164,21.35146,-88.28973,15079,20221111
165,21.35146,-88.28973,15099,20221114
166,21.35146,-88.28973,14906,20221119
167,21.35146,-88.28973,14793,20221121
168,21.35146,-88.28973,14971,20221123
169,21.35146,-88.28973,15058,20221126
170,21.35146,-88.28973,15035,20221128
171,21.35146,-88.28973,14934,20221129
172,21.35146,-88.28973,15118,20221202
173,21.35146,-88.28973,14993,20221204
174,21.35146,-88.28973,15013,20221205
175,21.35146,-88.28973,15029,20221206
176,21.35146,-88.28973,15141,20221207
177,21.35146,-88.28973,15013,20221209
178,21.35146,-88.28973,14992,20221212
179,21.35146,-88.28973,15061,20221214
180,21.35146,-88.28973,15155,20221216
