,Latitud,Longitud,LST_Day_1km,date
0,20.88782,-89.45434,15145,20210920
1,20.88782,-89.45434,15039,20210924
2,20.88782,-89.45434,15078,20210927
3,20.88782,-89.45434,15124,20210929
4,20.88782,-89.45434,15108,20211001
5,20.88782,-89.45434,15060,20211004
6,20.88782,-89.45434,15034,20211006
7,20.88782,-89.45434,14910,20211009
8,20.88782,-89.45434,15152,20211010
9,20.88782,-89.45434,15139,20211011
10,20.88782,-89.45434,15206,20211013
11,20.88782,-89.45434,14996,20211014
12,20.88782,-89.45434,14887,20211016
13,20.88782,-89.45434,14997,20211017
14,20.88782,-89.45434,14922,20211018
15,20.88782,-89.45434,14951,20211025
16,20.88782,-89.45434,15057,20211028
17,20.88782,-89.45434,15161,20211031
18,20.88782,-89.45434,15042,20211101
19,20.88782,-89.45434,15069,20211102
20,20.88782,-89.45434,14919,20211105
21,20.88782,-89.45434,15131,20211110
22,20.88782,-89.45434,15152,20211112
23,20.88782,-89.45434,15023,20211114
24,20.88782,-89.45434,15159,20211116
25,20.88782,-89.45434,14984,20211119
26,20.88782,-89.45434,14923,20211121
27,20.88782,-89.45434,15077,20211123
28,20.88782,-89.45434,15160,20211125
29,20.88782,-89.45434,15146,20211127
30,20.88782,-89.45434,15010,20211201
31,20.88782,-89.45434,15193,20211205
32,20.88782,-89.45434,15175,20211207
33,20.88782,-89.45434,15049,20211208
34,20.88782,-89.45434,15069,20211209
35,20.88782,-89.45434,15066,20211212
36,20.88782,-89.45434,15082,20211218
37,20.88782,-89.45434,14854,20211221
38,20.88782,-89.45434,14882,20211222
39,20.88782,-89.45434,14806,20211223
40,20.88782,-89.45434,14927,20211224
41,20.88782,-89.45434,15063,20211225
42,20.88782,-89.45434,14937,20211228
43,20.88782,-89.45434,15034,20211230
44,20.88782,-89.45434,15082,20211231
45,20.88782,-89.45434,15022,20220101
46,20.88782,-89.45434,14994,20220107
47,20.88782,-89.45434,14899,20220110
48,20.88782,-89.45434,14972,20220114
49,20.88782,-89.45434,14993,20220115
50,20.88782,-89.45434,14857,20220118
51,20.88782,-89.45434,15024,20220119
52,20.88782,-89.45434,15038,20220120
53,20.88782,-89.45434,14895,20220123
54,20.88782,-89.45434,15076,20220124
55,20.88782,-89.45434,14986,20220125
56,20.88782,-89.45434,14875,20220130
57,20.88782,-89.45434,14937,20220131
58,20.88782,-89.45434,15224,20220204
59,20.88782,-89.45434,14998,20220211
60,20.88782,-89.45434,14815,20220213
61,20.88782,-89.45434,14846,20220214
62,20.88782,-89.45434,14890,20220215
63,20.88782,-89.45434,15056,20220218
64,20.88782,-89.45434,15135,20220221
65,20.88782,-89.45434,15077,20220222
66,20.88782,-89.45434,15127,20220225
67,20.88782,-89.45434,15078,20220226
68,20.88782,-89.45434,15172,20220227
69,20.88782,-89.45434,14972,20220301
70,20.88782,-89.45434,15139,20220303
71,20.88782,-89.45434,15233,20220304
72,20.88782,-89.45434,15142,20220305
73,20.88782,-89.45434,15248,20220308
74,20.88782,-89.45434,15232,20220309
75,20.88782,-89.45434,15218,20220310
76,20.88782,-89.45434,15392,20220311
77,20.88782,-89.45434,15124,20220314
78,20.88782,-89.45434,15277,20220317
79,20.88782,-89.45434,15383,20220319
80,20.88782,-89.45434,15081,20220320
81,20.88782,-89.45434,15167,20220321
82,20.88782,-89.45434,15458,20220322
83,20.88782,-89.45434,15156,20220323
84,20.88782,-89.45434,15049,20220325
85,20.88782,-89.45434,15124,20220326
86,20.88782,-89.45434,15247,20220327
87,20.88782,-89.45434,15365,20220329
88,20.88782,-89.45434,15498,20220331
89,20.88782,-89.45434,15493,20220402
90,20.88782,-89.45434,15327,20220403
91,20.88782,-89.45434,15412,20220404
92,20.88782,-89.45434,15460,20220405
93,20.88782,-89.45434,15333,20220406
94,20.88782,-89.45434,15509,20220407
95,20.88782,-89.45434,15354,20220409
96,20.88782,-89.45434,15317,20220410
97,20.88782,-89.45434,15497,20220411
98,20.88782,-89.45434,15311,20220413
99,20.88782,-89.45434,15391,20220414
100,20.88782,-89.45434,15281,20220415
101,20.88782,-89.45434,15661,20220416
102,20.88782,-89.45434,15622,20220418
103,20.88782,-89.45434,15483,20220419
104,20.88782,-89.45434,15576,20220420
105,20.88782,-89.45434,15444,20220421
106,20.88782,-89.45434,15290,20220423
107,20.88782,-89.45434,15600,20220425
108,20.88782,-89.45434,15479,20220427
109,20.88782,-89.45434,15492,20220429
110,20.88782,-89.45434,15401,20220502
111,20.88782,-89.45434,15495,20220504
112,20.88782,-89.45434,15538,20220507
113,20.88782,-89.45434,15471,20220508
114,20.88782,-89.45434,15722,20220509
115,20.88782,-89.45434,15397,20220512
116,20.88782,-89.45434,15659,20220513
117,20.88782,-89.45434,15464,20220514
118,20.88782,-89.45434,15508,20220515
119,20.88782,-89.45434,15674,20220516
120,20.88782,-89.45434,15501,20220517
121,20.88782,-89.45434,15400,20220523
122,20.88782,-89.45434,15464,20220605
123,20.88782,-89.45434,15184,20220610
124,20.88782,-89.45434,15367,20220612
125,20.88782,-89.45434,15105,20220614
126,20.88782,-89.45434,15178,20220616
127,20.88782,-89.45434,15111,20220623
128,20.88782,-89.45434,15280,20220626
129,20.88782,-89.45434,15273,20220630
130,20.88782,-89.45434,15234,20220702
131,20.88782,-89.45434,15197,20220707
132,20.88782,-89.45434,15204,20220710
133,20.88782,-89.45434,15424,20220716
134,20.88782,-89.45434,15289,20220719
135,20.88782,-89.45434,15449,20220721
136,20.88782,-89.45434,15236,20220801
137,20.88782,-89.45434,15073,20220804
138,20.88782,-89.45434,14994,20220805
139,20.88782,-89.45434,14994,20220808
140,20.88782,-89.45434,15059,20220813
141,20.88782,-89.45434,15158,20220815
142,20.88782,-89.45434,15010,20220816
143,20.88782,-89.45434,15194,20220817
144,20.88782,-89.45434,15127,20220822
145,20.88782,-89.45434,15183,20220824
146,20.88782,-89.45434,15047,20220829
147,20.88782,-89.45434,15072,20220905
148,20.88782,-89.45434,15108,20220907
149,20.88782,-89.45434,15076,20220916
150,20.88782,-89.45434,14959,20220921
151,20.88782,-89.45434,15058,20220923
152,20.88782,-89.45434,15100,20220925
153,20.88782,-89.45434,14934,20220927
154,20.88782,-89.45434,14903,20220928
155,20.88782,-89.45434,14926,20220930
156,20.88782,-89.45434,14976,20221001
157,20.88782,-89.45434,15107,20221002
158,20.88782,-89.45434,15067,20221004
159,20.88782,-89.45434,15137,20221006
160,20.88782,-89.45434,15013,20221007
161,20.88782,-89.45434,15029,20221026
162,20.88782,-89.45434,15006,20221027
163,20.88782,-89.45434,15103,20221028
