,Latitud,Longitud,LST_Day_1km,date
0,21.377,-88.25127,15157,20210920
1,21.377,-88.25127,15117,20210927
2,21.377,-88.25127,15219,20210929
3,21.377,-88.25127,15073,20211001
4,21.377,-88.25127,14912,20211002
5,21.377,-88.25127,15088,20211006
6,21.377,-88.25127,15090,20211011
7,21.377,-88.25127,15156,20211012
8,21.377,-88.25127,15085,20211014
9,21.377,-88.25127,15166,20211015
10,21.377,-88.25127,14990,20211029
11,21.377,-88.25127,15134,20211102
12,21.377,-88.25127,14957,20211103
13,21.377,-88.25127,14798,20211107
14,21.377,-88.25127,15090,20211110
15,21.377,-88.25127,15167,20211111
16,21.377,-88.25127,15011,20211116
17,21.377,-88.25127,15052,20211118
18,21.377,-88.25127,14845,20211121
19,21.377,-88.25127,15097,20211125
20,21.377,-88.25127,14911,20211126
21,21.377,-88.25127,15058,20211127
22,21.377,-88.25127,15048,20211204
23,21.377,-88.25127,15120,20211205
24,21.377,-88.25127,15063,20211206
25,21.377,-88.25127,15103,20211207
26,21.377,-88.25127,15049,20211208
27,21.377,-88.25127,15204,20211209
28,21.377,-88.25127,14967,20211212
29,21.377,-88.25127,15105,20211215
30,21.377,-88.25127,15034,20211221
31,21.377,-88.25127,14948,20211222
32,21.377,-88.25127,14980,20211224
33,21.377,-88.25127,15133,20211225
34,21.377,-88.25127,15026,20211227
35,21.377,-88.25127,14885,20211228
36,21.377,-88.25127,15138,20211229
37,21.377,-88.25127,15036,20211230
38,21.377,-88.25127,15254,20220101
39,21.377,-88.25127,14863,20220106
40,21.377,-88.25127,15084,20220107
41,21.377,-88.25127,14862,20220108
42,21.377,-88.25127,15106,20220115
43,21.377,-88.25127,14874,20220117
44,21.377,-88.25127,14928,20220118
45,21.377,-88.25127,15120,20220119
46,21.377,-88.25127,15077,20220121
47,21.377,-88.25127,15076,20220124
48,21.377,-88.25127,15019,20220131
49,21.377,-88.25127,14960,20220201
50,21.377,-88.25127,15146,20220204
51,21.377,-88.25127,14927,20220213
52,21.377,-88.25127,15136,20220220
53,21.377,-88.25127,15171,20220222
54,21.377,-88.25127,14996,20220225
55,21.377,-88.25127,15183,20220227
56,21.377,-88.25127,15119,20220301
57,21.377,-88.25127,15147,20220303
58,21.377,-88.25127,14985,20220306
59,21.377,-88.25127,15255,20220308
60,21.377,-88.25127,15412,20220310
61,21.377,-88.25127,15373,20220311
62,21.377,-88.25127,15300,20220315
63,21.377,-88.25127,15289,20220317
64,21.377,-88.25127,15136,20220318
65,21.377,-88.25127,15332,20220319
66,21.377,-88.25127,15298,20220320
67,21.377,-88.25127,15246,20220321
68,21.377,-88.25127,15405,20220322
69,21.377,-88.25127,15270,20220323
70,21.377,-88.25127,15154,20220327
71,21.377,-88.25127,15443,20220328
72,21.377,-88.25127,15339,20220329
73,21.377,-88.25127,15550,20220331
74,21.377,-88.25127,15643,20220402
75,21.377,-88.25127,15453,20220403
76,21.377,-88.25127,15601,20220404
77,21.377,-88.25127,15435,20220405
78,21.377,-88.25127,15470,20220406
79,21.377,-88.25127,15451,20220407
80,21.377,-88.25127,15476,20220409
81,21.377,-88.25127,15708,20220411
82,21.377,-88.25127,15739,20220416
83,21.377,-88.25127,15214,20220417
84,21.377,-88.25127,15739,20220418
85,21.377,-88.25127,15122,20220419
86,21.377,-88.25127,15479,20220420
87,21.377,-88.25127,15505,20220423
88,21.377,-88.25127,15618,20220425
89,21.377,-88.25127,15483,20220429
90,21.377,-88.25127,15387,20220430
91,21.377,-88.25127,15214,20220501
92,21.377,-88.25127,15373,20220502
93,21.377,-88.25127,15366,20220504
94,21.377,-88.25127,15460,20220508
95,21.377,-88.25127,15568,20220513
96,21.377,-88.25127,15479,20220514
97,21.377,-88.25127,15373,20220515
98,21.377,-88.25127,15374,20220520
99,21.377,-88.25127,15311,20220605
100,21.377,-88.25127,15272,20220607
101,21.377,-88.25127,15245,20220610
102,21.377,-88.25127,15192,20220611
103,21.377,-88.25127,15425,20220612
104,21.377,-88.25127,15259,20220614
105,21.377,-88.25127,15035,20220619
106,21.377,-88.25127,15119,20220621
107,21.377,-88.25127,15229,20220626
108,21.377,-88.25127,15354,20220628
109,21.377,-88.25127,15193,20220704
110,21.377,-88.25127,15149,20220710
111,21.377,-88.25127,15289,20220714
112,21.377,-88.25127,15320,20220719
113,21.377,-88.25127,15394,20220721
114,21.377,-88.25127,15248,20220725
115,21.377,-88.25127,15258,20220801
116,21.377,-88.25127,15206,20220803
117,21.377,-88.25127,15130,20220804
118,21.377,-88.25127,15135,20220806
119,21.377,-88.25127,15010,20220809
120,21.377,-88.25127,15138,20220810
121,21.377,-88.25127,15094,20220815
122,21.377,-88.25127,15258,20220817
123,21.377,-88.25127,15150,20220819
124,21.377,-88.25127,15138,20220822
125,21.377,-88.25127,15178,20220824
126,21.377,-88.25127,15017,20220829
