,Latitud,Longitud,LST_Day_1km,date
0,20.98404,-88.13237,15202,20210920
1,20.98404,-88.13237,15074,20210927
2,20.98404,-88.13237,15210,20210929
3,20.98404,-88.13237,15051,20211004
4,20.98404,-88.13237,15184,20211006
5,20.98404,-88.13237,15104,20211010
6,20.98404,-88.13237,15064,20211011
7,20.98404,-88.13237,15049,20211013
8,20.98404,-88.13237,15101,20211014
9,20.98404,-88.13237,14997,20211018
10,20.98404,-88.13237,14845,20211029
11,20.98404,-88.13237,14997,20211030
12,20.98404,-88.13237,15094,20211031
13,20.98404,-88.13237,15080,20211102
14,20.98404,-88.13237,14981,20211103
15,20.98404,-88.13237,14985,20211107
16,20.98404,-88.13237,14841,20211108
17,20.98404,-88.13237,14981,20211110
18,20.98404,-88.13237,15083,20211111
19,20.98404,-88.13237,14907,20211120
20,20.98404,-88.13237,14951,20211121
21,20.98404,-88.13237,14916,20211124
22,20.98404,-88.13237,15041,20211125
23,20.98404,-88.13237,14880,20211126
24,20.98404,-88.13237,15059,20211127
25,20.98404,-88.13237,15018,20211204
26,20.98404,-88.13237,15032,20211205
27,20.98404,-88.13237,15070,20211207
28,20.98404,-88.13237,15100,20211209
29,20.98404,-88.13237,15075,20211211
30,20.98404,-88.13237,14980,20211213
31,20.98404,-88.13237,15019,20211215
32,20.98404,-88.13237,14877,20211221
33,20.98404,-88.13237,14909,20211222
34,20.98404,-88.13237,14767,20211223
35,20.98404,-88.13237,14904,20211224
36,20.98404,-88.13237,15007,20211225
37,20.98404,-88.13237,14824,20211227
38,20.98404,-88.13237,15044,20211229
39,20.98404,-88.13237,15149,20220101
40,20.98404,-88.13237,14837,20220106
41,20.98404,-88.13237,14986,20220107
42,20.98404,-88.13237,14846,20220108
43,20.98404,-88.13237,14899,20220114
44,20.98404,-88.13237,15002,20220115
45,20.98404,-88.13237,14739,20220117
46,20.98404,-88.13237,14852,20220118
47,20.98404,-88.13237,14891,20220119
48,20.98404,-88.13237,14991,20220124
49,20.98404,-88.13237,14932,20220128
50,20.98404,-88.13237,14793,20220130
51,20.98404,-88.13237,14757,20220131
52,20.98404,-88.13237,15068,20220204
53,20.98404,-88.13237,14865,20220206
54,20.98404,-88.13237,14919,20220210
55,20.98404,-88.13237,14798,20220213
56,20.98404,-88.13237,15009,20220220
57,20.98404,-88.13237,15090,20220222
58,20.98404,-88.13237,15101,20220224
59,20.98404,-88.13237,15115,20220225
60,20.98404,-88.13237,15000,20220227
61,20.98404,-88.13237,14907,20220301
62,20.98404,-88.13237,15110,20220303
63,20.98404,-88.13237,15314,20220310
64,20.98404,-88.13237,15321,20220311
65,20.98404,-88.13237,15242,20220315
66,20.98404,-88.13237,15157,20220317
67,20.98404,-88.13237,15339,20220319
68,20.98404,-88.13237,15131,20220321
69,20.98404,-88.13237,15227,20220322
70,20.98404,-88.13237,15291,20220326
71,20.98404,-88.13237,15288,20220327
72,20.98404,-88.13237,15336,20220328
73,20.98404,-88.13237,15387,20220331
74,20.98404,-88.13237,15385,20220402
75,20.98404,-88.13237,15395,20220403
76,20.98404,-88.13237,15313,20220404
77,20.98404,-88.13237,15297,20220405
78,20.98404,-88.13237,15386,20220406
79,20.98404,-88.13237,15522,20220407
80,20.98404,-88.13237,15332,20220409
81,20.98404,-88.13237,15511,20220411
82,20.98404,-88.13237,15322,20220413
83,20.98404,-88.13237,15542,20220416
84,20.98404,-88.13237,15611,20220418
85,20.98404,-88.13237,15365,20220420
86,20.98404,-88.13237,15204,20220425
87,20.98404,-88.13237,15440,20220429
88,20.98404,-88.13237,15334,20220502
89,20.98404,-88.13237,15517,20220504
90,20.98404,-88.13237,15539,20220508
91,20.98404,-88.13237,15319,20220509
92,20.98404,-88.13237,15290,20220510
93,20.98404,-88.13237,15472,20220513
94,20.98404,-88.13237,15455,20220514
95,20.98404,-88.13237,15390,20220515
96,20.98404,-88.13237,15613,20220516
97,20.98404,-88.13237,15448,20220517
98,20.98404,-88.13237,15319,20220612
99,20.98404,-88.13237,15235,20220628
100,20.98404,-88.13237,15101,20220703
101,20.98404,-88.13237,15091,20220704
102,20.98404,-88.13237,14971,20220708
103,20.98404,-88.13237,14924,20220714
104,20.98404,-88.13237,15274,20220716
105,20.98404,-88.13237,15070,20220717
106,20.98404,-88.13237,15266,20220719
107,20.98404,-88.13237,15332,20220721
108,20.98404,-88.13237,15107,20220726
109,20.98404,-88.13237,14875,20220730
110,20.98404,-88.13237,15229,20220801
111,20.98404,-88.13237,15189,20220806
112,20.98404,-88.13237,14875,20220809
113,20.98404,-88.13237,15004,20220813
114,20.98404,-88.13237,15257,20220817
115,20.98404,-88.13237,15240,20220822
116,20.98404,-88.13237,15103,20220824
117,20.98404,-88.13237,15089,20220826
118,20.98404,-88.13237,14987,20220827
119,20.98404,-88.13237,14660,20220903
120,20.98404,-88.13237,15093,20220907
121,20.98404,-88.13237,15098,20220913
122,20.98404,-88.13237,15059,20220914
123,20.98404,-88.13237,14923,20220919
124,20.98404,-88.13237,14921,20220921
125,20.98404,-88.13237,15106,20220923
126,20.98404,-88.13237,14970,20220926
127,20.98404,-88.13237,15025,20220928
128,20.98404,-88.13237,14981,20220930
129,20.98404,-88.13237,14983,20221001
130,20.98404,-88.13237,15121,20221002
131,20.98404,-88.13237,15079,20221004
132,20.98404,-88.13237,14959,20221005
133,20.98404,-88.13237,15125,20221006
134,20.98404,-88.13237,15116,20221007
135,20.98404,-88.13237,14919,20221009
136,20.98404,-88.13237,14981,20221026
137,20.98404,-88.13237,15049,20221028
138,20.98404,-88.13237,15109,20221030
139,20.98404,-88.13237,15038,20221104
140,20.98404,-88.13237,15052,20221106
141,20.98404,-88.13237,14822,20221107
142,20.98404,-88.13237,15025,20221108
143,20.98404,-88.13237,14968,20221109
144,20.98404,-88.13237,15063,20221111
145,20.98404,-88.13237,15070,20221113
146,20.98404,-88.13237,15032,20221114
147,20.98404,-88.13237,15060,20221116
148,20.98404,-88.13237,14998,20221120
149,20.98404,-88.13237,14868,20221121
150,20.98404,-88.13237,14926,20221125
151,20.98404,-88.13237,14943,20221126
152,20.98404,-88.13237,14968,20221128
153,20.98404,-88.13237,14983,20221129
154,20.98404,-88.13237,15019,20221202
155,20.98404,-88.13237,14950,20221204
156,20.98404,-88.13237,14978,20221205
157,20.98404,-88.13237,15057,20221207
158,20.98404,-88.13237,14783,20221208
159,20.98404,-88.13237,15053,20221209
160,20.98404,-88.13237,15094,20221210
161,20.98404,-88.13237,15028,20221212
162,20.98404,-88.13237,15095,20221214
163,20.98404,-88.13237,14973,20221215
164,20.98404,-88.13237,15121,20221216
165,20.98404,-88.13237,15001,20221221
166,20.98404,-88.13237,14792,20221227
167,20.98404,-88.13237,14866,20221228
