,Latitud,Longitud,LST_Day_1km,date
0,21.23861,-88.78667,15181,20210920
1,21.23861,-88.78667,15053,20210924
2,21.23861,-88.78667,15024,20210925
3,21.23861,-88.78667,15046,20210927
4,21.23861,-88.78667,15220,20210929
5,21.23861,-88.78667,15062,20211001
6,21.23861,-88.78667,15115,20211004
7,21.23861,-88.78667,15152,20211006
8,21.23861,-88.78667,14974,20211009
9,21.23861,-88.78667,15165,20211010
10,21.23861,-88.78667,15182,20211012
11,21.23861,-88.78667,15231,20211013
12,21.23861,-88.78667,15100,20211014
13,21.23861,-88.78667,15260,20211015
14,21.23861,-88.78667,15011,20211018
15,21.23861,-88.78667,14991,20211020
16,21.23861,-88.78667,15059,20211026
17,21.23861,-88.78667,15039,20211028
18,21.23861,-88.78667,15016,20211030
19,21.23861,-88.78667,15140,20211031
20,21.23861,-88.78667,15131,20211102
21,21.23861,-88.78667,15124,20211105
22,21.23861,-88.78667,14734,20211107
23,21.23861,-88.78667,15013,20211109
24,21.23861,-88.78667,15194,20211110
25,21.23861,-88.78667,15199,20211111
26,21.23861,-88.78667,15198,20211116
27,21.23861,-88.78667,14750,20211119
28,21.23861,-88.78667,15198,20211125
29,21.23861,-88.78667,14868,20211126
30,21.23861,-88.78667,15172,20211127
31,21.23861,-88.78667,14924,20211128
32,21.23861,-88.78667,15130,20211204
33,21.23861,-88.78667,15173,20211205
34,21.23861,-88.78667,15086,20211207
35,21.23861,-88.78667,15111,20211208
36,21.23861,-88.78667,15023,20211209
37,21.23861,-88.78667,14932,20211212
38,21.23861,-88.78667,15130,20211213
39,21.23861,-88.78667,15053,20211214
40,21.23861,-88.78667,15128,20211215
41,21.23861,-88.78667,14934,20211222
42,21.23861,-88.78667,14979,20211223
43,21.23861,-88.78667,15020,20211224
44,21.23861,-88.78667,15175,20211225
45,21.23861,-88.78667,15159,20211227
46,21.23861,-88.78667,15113,20211228
47,21.23861,-88.78667,15132,20211230
48,21.23861,-88.78667,15333,20220101
49,21.23861,-88.78667,14982,20220105
