,Latitud,Longitud,LST_Day_1km,date
0,21.28538,-89.26821,15228,20210920
1,21.28538,-89.26821,15123,20210924
2,21.28538,-89.26821,15044,20210925
3,21.28538,-89.26821,15107,20210927
4,21.28538,-89.26821,15218,20210929
5,21.28538,-89.26821,15056,20211001
6,21.28538,-89.26821,15251,20211006
7,21.28538,-89.26821,14840,20211009
8,21.28538,-89.26821,15116,20211014
9,21.28538,-89.26821,15101,20211016
10,21.28538,-89.26821,15061,20211017
11,21.28538,-89.26821,15052,20211025
12,21.28538,-89.26821,14908,20211026
13,21.28538,-89.26821,15063,20211028
14,21.28538,-89.26821,15053,20211030
15,21.28538,-89.26821,15219,20211031
16,21.28538,-89.26821,15025,20211101
17,21.28538,-89.26821,15079,20211102
18,21.28538,-89.26821,15017,20211103
19,21.28538,-89.26821,14987,20211105
20,21.28538,-89.26821,15163,20211110
21,21.28538,-89.26821,15051,20211111
22,21.28538,-89.26821,15324,20211112
23,21.28538,-89.26821,15126,20211116
24,21.28538,-89.26821,15042,20211119
25,21.28538,-89.26821,15073,20211121
26,21.28538,-89.26821,15171,20211125
27,21.28538,-89.26821,15087,20211126
28,21.28538,-89.26821,15104,20211127
29,21.28538,-89.26821,14980,20211201
30,21.28538,-89.26821,15070,20211204
31,21.28538,-89.26821,15151,20211205
32,21.28538,-89.26821,15150,20211206
33,21.28538,-89.26821,14988,20211207
34,21.28538,-89.26821,15079,20211208
35,21.28538,-89.26821,14954,20211209
36,21.28538,-89.26821,15162,20211211
37,21.28538,-89.26821,15087,20211215
38,21.28538,-89.26821,15100,20211218
39,21.28538,-89.26821,14897,20211222
40,21.28538,-89.26821,14981,20211223
41,21.28538,-89.26821,14946,20211224
42,21.28538,-89.26821,15107,20211225
43,21.28538,-89.26821,15076,20211228
44,21.28538,-89.26821,15199,20211230
45,21.28538,-89.26821,15200,20220101
46,21.28538,-89.26821,15070,20220107
47,21.28538,-89.26821,15027,20220114
48,21.28538,-89.26821,15089,20220115
49,21.28538,-89.26821,15079,20220119
50,21.28538,-89.26821,14960,20220120
51,21.28538,-89.26821,15093,20220121
52,21.28538,-89.26821,15073,20220124
53,21.28538,-89.26821,14986,20220131
54,21.28538,-89.26821,15012,20220202
55,21.28538,-89.26821,14854,20220209
56,21.28538,-89.26821,15072,20220211
57,21.28538,-89.26821,14722,20220214
58,21.28538,-89.26821,15159,20220218
59,21.28538,-89.26821,15125,20220220
60,21.28538,-89.26821,15107,20220221
61,21.28538,-89.26821,15159,20220222
62,21.28538,-89.26821,15122,20220225
63,21.28538,-89.26821,15060,20220226
64,21.28538,-89.26821,15142,20220227
65,21.28538,-89.26821,14830,20220301
66,21.28538,-89.26821,15107,20220304
67,21.28538,-89.26821,15069,20220305
68,21.28538,-89.26821,15085,20220306
69,21.28538,-89.26821,15200,20220308
70,21.28538,-89.26821,15172,20220309
71,21.28538,-89.26821,14979,20220310
72,21.28538,-89.26821,15320,20220311
73,21.28538,-89.26821,15025,20220314
74,21.28538,-89.26821,15229,20220315
75,21.28538,-89.26821,15138,20220317
76,21.28538,-89.26821,15030,20220318
77,21.28538,-89.26821,15196,20220319
78,21.28538,-89.26821,15199,20220320
79,21.28538,-89.26821,15337,20220322
80,21.28538,-89.26821,15121,20220323
81,21.28538,-89.26821,15020,20220325
82,21.28538,-89.26821,15034,20220326
83,21.28538,-89.26821,15168,20220327
84,21.28538,-89.26821,15242,20220328
85,21.28538,-89.26821,15366,20220329
86,21.28538,-89.26821,15483,20220331
87,21.28538,-89.26821,15508,20220402
88,21.28538,-89.26821,15335,20220403
89,21.28538,-89.26821,15402,20220404
90,21.28538,-89.26821,15472,20220405
91,21.28538,-89.26821,15370,20220406
92,21.28538,-89.26821,15486,20220407
93,21.28538,-89.26821,15274,20220410
94,21.28538,-89.26821,15471,20220411
95,21.28538,-89.26821,15310,20220413
96,21.28538,-89.26821,15358,20220414
97,21.28538,-89.26821,15280,20220415
