,Latitud,Longitud,LST_Day_1km,date
0,20.90349,-88.81113,15222,20210920
1,20.90349,-88.81113,15077,20210927
2,20.90349,-88.81113,15128,20210929
3,20.90349,-88.81113,14962,20211002
4,20.90349,-88.81113,15149,20211006
5,20.90349,-88.81113,15155,20211012
6,20.90349,-88.81113,15132,20211013
7,20.90349,-88.81113,15101,20211015
8,20.90349,-88.81113,15010,20211020
9,20.90349,-88.81113,14991,20211025
10,20.90349,-88.81113,15089,20211026
11,20.90349,-88.81113,15279,20211031
12,20.90349,-88.81113,15286,20211102
13,20.90349,-88.81113,15084,20211105
14,20.90349,-88.81113,15057,20211107
15,20.90349,-88.81113,15101,20211109
16,20.90349,-88.81113,15154,20211110
17,20.90349,-88.81113,15210,20211111
18,20.90349,-88.81113,14974,20211115
19,20.90349,-88.81113,15223,20211116
20,20.90349,-88.81113,14815,20211119
21,20.90349,-88.81113,15106,20211121
22,20.90349,-88.81113,15141,20211125
23,20.90349,-88.81113,15015,20211126
24,20.90349,-88.81113,15130,20211127
25,20.90349,-88.81113,14998,20211128
26,20.90349,-88.81113,14996,20211201
27,20.90349,-88.81113,15053,20211204
28,20.90349,-88.81113,15122,20211205
29,20.90349,-88.81113,15117,20211207
30,20.90349,-88.81113,15020,20211208
31,20.90349,-88.81113,15024,20211209
32,20.90349,-88.81113,14944,20211211
33,20.90349,-88.81113,15178,20211218
34,20.90349,-88.81113,15037,20211222
35,20.90349,-88.81113,14964,20211223
36,20.90349,-88.81113,14997,20211224
37,20.90349,-88.81113,15160,20211225
38,20.90349,-88.81113,15087,20211228
39,20.90349,-88.81113,15255,20220101
40,20.90349,-88.81113,14794,20220108
41,20.90349,-88.81113,14679,20220112
42,20.90349,-88.81113,15052,20220114
43,20.90349,-88.81113,15119,20220115
44,20.90349,-88.81113,14915,20220117
45,20.90349,-88.81113,14899,20220118
46,20.90349,-88.81113,15186,20220119
47,20.90349,-88.81113,14906,20220123
48,20.90349,-88.81113,15168,20220124
49,20.90349,-88.81113,14930,20220128
50,20.90349,-88.81113,15021,20220131
51,20.90349,-88.81113,15208,20220202
52,20.90349,-88.81113,15278,20220204
53,20.90349,-88.81113,14852,20220206
54,20.90349,-88.81113,14950,20220213
55,20.90349,-88.81113,15173,20220218
56,20.90349,-88.81113,14967,20220220
57,20.90349,-88.81113,15063,20220221
58,20.90349,-88.81113,15230,20220222
59,20.90349,-88.81113,15127,20220224
60,20.90349,-88.81113,15093,20220225
61,20.90349,-88.81113,15203,20220227
62,20.90349,-88.81113,15014,20220301
63,20.90349,-88.81113,15181,20220303
64,20.90349,-88.81113,15124,20220304
65,20.90349,-88.81113,15131,20220305
66,20.90349,-88.81113,15206,20220308
67,20.90349,-88.81113,15298,20220310
68,20.90349,-88.81113,15322,20220311
69,20.90349,-88.81113,15141,20220314
70,20.90349,-88.81113,15374,20220315
71,20.90349,-88.81113,15463,20220322
72,20.90349,-88.81113,15216,20220323
73,20.90349,-88.81113,15350,20220326
74,20.90349,-88.81113,15343,20220327
75,20.90349,-88.81113,15371,20220328
76,20.90349,-88.81113,15492,20220329
77,20.90349,-88.81113,15584,20220331
78,20.90349,-88.81113,15639,20220402
79,20.90349,-88.81113,15475,20220403
80,20.90349,-88.81113,15514,20220404
81,20.90349,-88.81113,15533,20220405
82,20.90349,-88.81113,15409,20220406
83,20.90349,-88.81113,15538,20220407
84,20.90349,-88.81113,15522,20220409
85,20.90349,-88.81113,15619,20220411
86,20.90349,-88.81113,15320,20220412
87,20.90349,-88.81113,15275,20220415
88,20.90349,-88.81113,15483,20220416
89,20.90349,-88.81113,15778,20220418
90,20.90349,-88.81113,15462,20220419
91,20.90349,-88.81113,15348,20220420
92,20.90349,-88.81113,15307,20220425
93,20.90349,-88.81113,15204,20220428
94,20.90349,-88.81113,15391,20220429
95,20.90349,-88.81113,15459,20220504
96,20.90349,-88.81113,15361,20220507
97,20.90349,-88.81113,15437,20220508
98,20.90349,-88.81113,15611,20220509
99,20.90349,-88.81113,15254,20220510
100,20.90349,-88.81113,15749,20220511
101,20.90349,-88.81113,15316,20220512
102,20.90349,-88.81113,15540,20220513
103,20.90349,-88.81113,15486,20220514
104,20.90349,-88.81113,15483,20220515
105,20.90349,-88.81113,15602,20220516
106,20.90349,-88.81113,15405,20220517
107,20.90349,-88.81113,15481,20220518
108,20.90349,-88.81113,15706,20220520
109,20.90349,-88.81113,15332,20220605
110,20.90349,-88.81113,15215,20220610
111,20.90349,-88.81113,15078,20220611
112,20.90349,-88.81113,15339,20220612
113,20.90349,-88.81113,15173,20220614
114,20.90349,-88.81113,15140,20220617
115,20.90349,-88.81113,15240,20220626
116,20.90349,-88.81113,15316,20220702
117,20.90349,-88.81113,15275,20220707
118,20.90349,-88.81113,15085,20220710
119,20.90349,-88.81113,15435,20220716
120,20.90349,-88.81113,14967,20220719
121,20.90349,-88.81113,15266,20220721
122,20.90349,-88.81113,15177,20220730
123,20.90349,-88.81113,15240,20220801
124,20.90349,-88.81113,15110,20220804
125,20.90349,-88.81113,15129,20220806
126,20.90349,-88.81113,15079,20220813
127,20.90349,-88.81113,15180,20220815
128,20.90349,-88.81113,15285,20220817
129,20.90349,-88.81113,15246,20220822
130,20.90349,-88.81113,15062,20220829
131,20.90349,-88.81113,14998,20220905
132,20.90349,-88.81113,15196,20220907
133,20.90349,-88.81113,15069,20220914
134,20.90349,-88.81113,15024,20220921
135,20.90349,-88.81113,14993,20220922
136,20.90349,-88.81113,15017,20220923
137,20.90349,-88.81113,15132,20220925
138,20.90349,-88.81113,14891,20220926
139,20.90349,-88.81113,15179,20221002
140,20.90349,-88.81113,15189,20221006
141,20.90349,-88.81113,15212,20221007
142,20.90349,-88.81113,15091,20221025
143,20.90349,-88.81113,15024,20221026
144,20.90349,-88.81113,15082,20221027
145,20.90349,-88.81113,15031,20221028
146,20.90349,-88.81113,15093,20221030
147,20.90349,-88.81113,14824,20221031
148,20.90349,-88.81113,15101,20221101
149,20.90349,-88.81113,15072,20221108
150,20.90349,-88.81113,15020,20221109
151,20.90349,-88.81113,15131,20221111
152,20.90349,-88.81113,15111,20221113
153,20.90349,-88.81113,15059,20221114
154,20.90349,-88.81113,14934,20221125
155,20.90349,-88.81113,14985,20221130
156,20.90349,-88.81113,15013,20221203
