,Latitud,Longitud,LST_Day_1km,date
0,21.29555,-88.88291,15163,20210920
1,21.29555,-88.88291,15074,20210924
2,21.29555,-88.88291,14846,20210925
3,21.29555,-88.88291,15164,20210927
4,21.29555,-88.88291,15243,20210929
5,21.29555,-88.88291,14972,20211002
6,21.29555,-88.88291,15150,20211006
7,21.29555,-88.88291,15129,20211010
8,21.29555,-88.88291,15135,20211012
9,21.29555,-88.88291,15108,20211014
10,21.29555,-88.88291,15237,20211015
11,21.29555,-88.88291,14898,20211016
12,21.29555,-88.88291,15048,20211025
13,21.29555,-88.88291,15101,20211026
14,21.29555,-88.88291,15041,20211028
15,21.29555,-88.88291,15145,20211031
16,21.29555,-88.88291,14863,20211101
17,21.29555,-88.88291,15130,20211102
18,21.29555,-88.88291,15122,20211103
19,21.29555,-88.88291,14902,20211105
20,21.29555,-88.88291,15199,20211110
21,21.29555,-88.88291,15111,20211116
22,21.29555,-88.88291,15220,20211125
23,21.29555,-88.88291,14930,20211126
24,21.29555,-88.88291,15146,20211204
25,21.29555,-88.88291,15214,20211205
26,21.29555,-88.88291,15131,20211206
27,21.29555,-88.88291,15095,20211207
28,21.29555,-88.88291,15135,20211208
29,21.29555,-88.88291,15073,20211209
30,21.29555,-88.88291,14927,20211211
31,21.29555,-88.88291,15214,20211218
32,21.29555,-88.88291,15016,20211220
33,21.29555,-88.88291,14844,20211221
34,21.29555,-88.88291,15013,20211222
35,21.29555,-88.88291,14909,20211223
36,21.29555,-88.88291,14982,20211224
37,21.29555,-88.88291,15170,20211225
38,21.29555,-88.88291,15091,20211227
39,21.29555,-88.88291,15094,20211228
40,21.29555,-88.88291,15132,20211229
41,21.29555,-88.88291,15094,20211230
42,21.29555,-88.88291,15309,20220101
43,21.29555,-88.88291,14825,20220112
44,21.29555,-88.88291,14876,20220114
45,21.29555,-88.88291,15126,20220115
46,21.29555,-88.88291,14626,20220117
47,21.29555,-88.88291,15164,20220119
48,21.29555,-88.88291,14921,20220120
49,21.29555,-88.88291,15188,20220121
50,21.29555,-88.88291,14734,20220122
51,21.29555,-88.88291,15078,20220124
52,21.29555,-88.88291,14982,20220128
53,21.29555,-88.88291,14909,20220131
54,21.29555,-88.88291,14923,20220201
55,21.29555,-88.88291,15067,20220202
56,21.29555,-88.88291,15152,20220204
57,21.29555,-88.88291,15080,20220211
58,21.29555,-88.88291,15115,20220218
59,21.29555,-88.88291,15174,20220220
60,21.29555,-88.88291,15029,20220221
61,21.29555,-88.88291,15180,20220222
62,21.29555,-88.88291,15130,20220225
63,21.29555,-88.88291,15147,20220227
64,21.29555,-88.88291,14956,20220301
65,21.29555,-88.88291,15146,20220303
66,21.29555,-88.88291,15144,20220304
67,21.29555,-88.88291,14988,20220306
68,21.29555,-88.88291,15113,20220308
69,21.29555,-88.88291,15270,20220310
70,21.29555,-88.88291,15342,20220311
71,21.29555,-88.88291,15142,20220314
72,21.29555,-88.88291,15266,20220315
73,21.29555,-88.88291,15266,20220317
74,21.29555,-88.88291,15248,20220318
75,21.29555,-88.88291,15174,20220319
76,21.29555,-88.88291,15411,20220322
77,21.29555,-88.88291,15250,20220323
78,21.29555,-88.88291,15061,20220325
79,21.29555,-88.88291,15072,20220326
80,21.29555,-88.88291,15324,20220327
81,21.29555,-88.88291,15401,20220328
82,21.29555,-88.88291,15432,20220329
83,21.29555,-88.88291,15570,20220331
84,21.29555,-88.88291,15642,20220402
85,21.29555,-88.88291,15408,20220403
86,21.29555,-88.88291,15515,20220404
87,21.29555,-88.88291,15528,20220405
88,21.29555,-88.88291,15419,20220406
89,21.29555,-88.88291,15573,20220407
90,21.29555,-88.88291,15380,20220409
91,21.29555,-88.88291,15381,20220410
92,21.29555,-88.88291,15613,20220411
93,21.29555,-88.88291,15480,20220413
94,21.29555,-88.88291,15418,20220414
95,21.29555,-88.88291,15692,20220416
96,21.29555,-88.88291,15395,20220418
97,21.29555,-88.88291,15246,20220419
98,21.29555,-88.88291,15426,20220420
99,21.29555,-88.88291,15675,20220423
100,21.29555,-88.88291,15497,20220429
101,21.29555,-88.88291,15511,20220502
102,21.29555,-88.88291,15482,20220504
103,21.29555,-88.88291,15306,20220506
104,21.29555,-88.88291,15422,20220507
105,21.29555,-88.88291,15464,20220508
106,21.29555,-88.88291,15566,20220509
107,21.29555,-88.88291,15286,20220510
108,21.29555,-88.88291,15484,20220511
109,21.29555,-88.88291,15253,20220512
110,21.29555,-88.88291,15489,20220514
111,21.29555,-88.88291,15354,20220515
112,21.29555,-88.88291,15520,20220516
113,21.29555,-88.88291,15389,20220517
114,21.29555,-88.88291,15410,20220520
115,21.29555,-88.88291,15455,20220525
116,21.29555,-88.88291,15456,20220605
117,21.29555,-88.88291,15179,20220610
118,21.29555,-88.88291,15405,20220612
119,21.29555,-88.88291,15289,20220614
120,21.29555,-88.88291,15363,20220617
121,21.29555,-88.88291,15101,20220622
122,21.29555,-88.88291,15237,20220702
123,21.29555,-88.88291,15089,20220704
124,21.29555,-88.88291,15265,20220707
125,21.29555,-88.88291,14900,20220715
126,21.29555,-88.88291,15182,20220716
127,21.29555,-88.88291,15179,20220719
128,21.29555,-88.88291,15353,20220721
129,21.29555,-88.88291,15187,20220801
130,21.29555,-88.88291,15061,20220804
131,21.29555,-88.88291,15184,20220806
132,21.29555,-88.88291,15133,20220810
133,21.29555,-88.88291,15079,20220812
134,21.29555,-88.88291,15173,20220815
135,21.29555,-88.88291,15026,20220816
136,21.29555,-88.88291,15335,20220817
137,21.29555,-88.88291,15082,20220819
138,21.29555,-88.88291,15094,20220824
139,21.29555,-88.88291,14915,20220828
140,21.29555,-88.88291,15077,20220829
141,21.29555,-88.88291,15176,20220907
142,21.29555,-88.88291,15011,20220919
143,21.29555,-88.88291,15079,20220926
144,21.29555,-88.88291,14949,20220928
145,21.29555,-88.88291,14983,20220930
146,21.29555,-88.88291,15215,20221002
147,21.29555,-88.88291,14968,20221003
148,21.29555,-88.88291,15124,20221004
149,21.29555,-88.88291,15102,20221005
150,21.29555,-88.88291,15191,20221006
151,21.29555,-88.88291,15138,20221007
152,21.29555,-88.88291,14978,20221008
153,21.29555,-88.88291,15046,20221026
154,21.29555,-88.88291,14995,20221027
155,21.29555,-88.88291,15114,20221030
156,21.29555,-88.88291,15114,20221101
157,21.29555,-88.88291,15025,20221104
158,21.29555,-88.88291,15081,20221106
159,21.29555,-88.88291,14996,20221109
160,21.29555,-88.88291,15099,20221111
161,21.29555,-88.88291,15044,20221113
162,21.29555,-88.88291,15113,20221114
163,21.29555,-88.88291,15080,20221115
164,21.29555,-88.88291,14947,20221118
165,21.29555,-88.88291,14834,20221121
166,21.29555,-88.88291,15061,20221123
167,21.29555,-88.88291,15040,20221125
168,21.29555,-88.88291,15012,20221126
169,21.29555,-88.88291,15024,20221202
170,21.29555,-88.88291,15000,20221205
171,21.29555,-88.88291,14984,20221206
172,21.29555,-88.88291,15100,20221207
173,21.29555,-88.88291,15068,20221210
174,21.29555,-88.88291,15001,20221211
175,21.29555,-88.88291,15025,20221212
176,21.29555,-88.88291,15113,20221214
177,21.29555,-88.88291,15172,20221215
178,21.29555,-88.88291,15107,20221216
179,21.29555,-88.88291,15056,20221219
180,21.29555,-88.88291,15124,20221221
181,21.29555,-88.88291,15103,20221222
182,21.29555,-88.88291,14792,20221227
183,21.29555,-88.88291,14946,20221228
