,ndvi_1,ndvi_2,ndvi_3,ndvi_4,ndvi_5,LST_Day_1km_1,LST_Day_1km_2,LST_Day_1km_3,LST_Day_1km_4,LST_Day_1km_5,Lai_1,Lai_2,Lai_3,Lai_4,Lai_5,Resultado
8482,0.3494704799959436,0.4494990567366282,0.3749393767033208,0.28323179852838315,0.342844166358312,0.12861958301025242,0.13101174578558916,0.1314418162565971,0.13214209815915687,0.13112432153011114,0.10250000000000001,0.07666666666666667,0.07032258064516128,0.06200000000000002,0.0846666666666667,Negativo
8483,0.49296762119047344,0.31558207819859185,0.41540704222936786,0.42682247053210937,0.43155468106269834,0.13448888601705866,0.14139743258378565,0.13584294238460107,0.1318227506389822,0.13056259153958816,0.155,0.09200000000000003,0.10838709677419354,0.13466666666666666,0.19400000000000003,Negativo
8484,0.3182730161061045,0.2367945795257886,0.3801912952574991,0.42431632975737255,0.36940053353707,0.13157900404928058,0.13205594325263487,0.1342688088667295,0.1372309813043853,0.13926193963412886,0.076875,0.06266666666666666,0.08193548387096776,0.11533333333333332,0.11266666666666669,Negativo
8485,0.2978372392244637,0.1565993785858154,0.40447568091293495,0.4355714696149031,0.3976842984557152,0.14026234169035928,0.1371069182389937,0.13650438973144682,0.13693805462221073,0.14087131328795843,0.0625,0.07066666666666668,0.1254838709677419,0.13466666666666668,0.104,Negativo
8486,0.35996702243573964,0.3195379470785459,0.5163341296926862,0.3141128644347191,0.40124873829384644,0.1305279141897131,0.13086011315011054,0.1305908281154031,0.1306349616610666,0.12973205824071682,0.0875,0.09266666666666669,0.08516129032258066,0.068,0.08866666666666669,Negativo
8487,0.3743291047285311,0.5469570367286603,0.44354996106947864,0.5237235297759374,0.4903594563404719,0.13790062031532696,0.13438327446081386,0.13757993646770442,0.13347347864794237,0.13184572528072142,0.0875,0.1473333333333333,0.18967741935483873,0.1613333333333333,0.19799999999999998,Negativo
8488,0.33731642679776996,0.4566166202227275,0.44305294367574877,0.38282779455184934,0.27620405331254005,0.1294014387869389,0.1324832715889837,0.13710080401982122,0.14017633037534818,0.13997185606386953,0.11562499999999999,0.11733333333333335,0.09870967741935485,0.08200000000000003,0.07000000000000002,Negativo
8489,0.4909485956886783,0.35032127412656944,0.4089956159192708,0.5122486693163713,0.4436285763978958,0.13027591108813646,0.12985727003819536,0.12891664373834477,0.13382039573820392,0.13479681801211912,0.139375,0.12133333333333335,0.10612903225806448,0.13600000000000004,0.12066666666666667,Negativo
8490,0.38270557031501085,0.574508152405421,0.4573033830571559,0.45373259832461676,0.45155121237039564,0.12803372964590332,0.13285201458889748,0.1357362214681352,0.13615806553516555,0.13783406565003878,0.105625,0.1366666666666667,0.11225806451612905,0.07666666666666669,0.08666666666666668,Negativo
8491,0.40104074496775866,0.36341521237045527,0.4882687997193106,0.4659189361458023,0.6231809044877689,0.13998341518049454,0.13736768042273342,0.1335023081177376,0.13816260302690908,0.13357341833950773,0.10187500000000001,0.13799999999999998,0.15387096774193554,0.15266666666666664,0.18000000000000005,Negativo
