,Latitud,Longitud,Lai,date
0,20.86359,-88.96386,19,20210922
1,20.86359,-88.96386,29,20210926
2,20.86359,-88.96386,16,20210930
3,20.86359,-88.96386,10,20211004
4,20.86359,-88.96386,22,20211008
5,20.86359,-88.96386,24,20211012
6,20.86359,-88.96386,10,20211016
7,20.86359,-88.96386,4,20211020
8,20.86359,-88.96386,17,20211024
9,20.86359,-88.96386,15,20211028
10,20.86359,-88.96386,15,20211101
11,20.86359,-88.96386,12,20211105
12,20.86359,-88.96386,12,20211109
13,20.86359,-88.96386,13,20211113
14,20.86359,-88.96386,7,20211117
15,20.86359,-88.96386,13,20211121
16,20.86359,-88.96386,12,20211125
17,20.86359,-88.96386,12,20211129
18,20.86359,-88.96386,13,20211203
19,20.86359,-88.96386,11,20211207
20,20.86359,-88.96386,7,20211211
21,20.86359,-88.96386,12,20211215
22,20.86359,-88.96386,11,20211219
23,20.86359,-88.96386,7,20211223
24,20.86359,-88.96386,5,20211227
25,20.86359,-88.96386,5,20211231
26,20.86359,-88.96386,5,20220101
27,20.86359,-88.96386,6,20220105
28,20.86359,-88.96386,15,20220109
29,20.86359,-88.96386,14,20220113
30,20.86359,-88.96386,9,20220117
31,20.86359,-88.96386,7,20220121
32,20.86359,-88.96386,8,20220125
33,20.86359,-88.96386,6,20220129
34,20.86359,-88.96386,9,20220202
35,20.86359,-88.96386,10,20220206
36,20.86359,-88.96386,12,20220210
37,20.86359,-88.96386,2,20220214
38,20.86359,-88.96386,28,20220218
39,20.86359,-88.96386,16,20220222
40,20.86359,-88.96386,9,20220226
41,20.86359,-88.96386,14,20220302
42,20.86359,-88.96386,24,20220306
43,20.86359,-88.96386,9,20220310
44,20.86359,-88.96386,14,20220314
45,20.86359,-88.96386,13,20220318
46,20.86359,-88.96386,10,20220322
47,20.86359,-88.96386,12,20220326
48,20.86359,-88.96386,11,20220330
49,20.86359,-88.96386,10,20220415
50,20.86359,-88.96386,12,20220419
51,20.86359,-88.96386,8,20220423
52,20.86359,-88.96386,14,20220427
53,20.86359,-88.96386,12,20220501
54,20.86359,-88.96386,12,20220505
55,20.86359,-88.96386,12,20220509
56,20.86359,-88.96386,10,20220513
57,20.86359,-88.96386,9,20220517
58,20.86359,-88.96386,10,20220521
59,20.86359,-88.96386,12,20220525
60,20.86359,-88.96386,10,20220529
61,20.86359,-88.96386,15,20220602
62,20.86359,-88.96386,15,20220606
63,20.86359,-88.96386,15,20220610
64,20.86359,-88.96386,15,20220614
65,20.86359,-88.96386,12,20220618
66,20.86359,-88.96386,10,20220622
67,20.86359,-88.96386,19,20220626
68,20.86359,-88.96386,21,20220630
69,20.86359,-88.96386,19,20220704
70,20.86359,-88.96386,10,20220708
71,20.86359,-88.96386,8,20220712
72,20.86359,-88.96386,17,20220716
73,20.86359,-88.96386,7,20220720
74,20.86359,-88.96386,14,20220724
75,20.86359,-88.96386,21,20220728
76,20.86359,-88.96386,16,20220801
77,20.86359,-88.96386,12,20220805
78,20.86359,-88.96386,17,20220809
79,20.86359,-88.96386,14,20220813
80,20.86359,-88.96386,16,20220817
81,20.86359,-88.96386,12,20220821
82,20.86359,-88.96386,12,20220825
83,20.86359,-88.96386,19,20220829
84,20.86359,-88.96386,7,20220902
85,20.86359,-88.96386,12,20220906
86,20.86359,-88.96386,7,20220910
87,20.86359,-88.96386,20,20220914
88,20.86359,-88.96386,11,20220918
89,20.86359,-88.96386,10,20220922
90,20.86359,-88.96386,6,20220926
91,20.86359,-88.96386,18,20220930
92,20.86359,-88.96386,17,20221004
93,20.86359,-88.96386,5,20221008
94,20.86359,-88.96386,9,20221024
95,20.86359,-88.96386,16,20221028
96,20.86359,-88.96386,16,20221101
97,20.86359,-88.96386,15,20221105
98,20.86359,-88.96386,12,20221109
99,20.86359,-88.96386,19,20221113
100,20.86359,-88.96386,7,20221117
101,20.86359,-88.96386,10,20221121
102,20.86359,-88.96386,9,20221125
103,20.86359,-88.96386,14,20221129
104,20.86359,-88.96386,17,20221203
105,20.86359,-88.96386,15,20221207
106,20.86359,-88.96386,16,20221211
107,20.86359,-88.96386,12,20221215
108,20.86359,-88.96386,14,20221219
109,20.86359,-88.96386,9,20221223
110,20.86359,-88.96386,11,20221227
