,Latitud,Longitud,NDVI,date
0,20.27283,-89.40654,0.8218457102775574,20210920
1,20.27283,-89.40654,0.25078317523002625,20210923
2,20.27283,-89.40654,0.5130135416984558,20210924
3,20.27283,-89.40654,0.6907970309257507,20210925
4,20.27283,-89.40654,0.5875062346458435,20210926
5,20.27283,-89.40654,0.8499454855918884,20210927
6,20.27283,-89.40654,0.4023838937282562,20210928
7,20.27283,-89.40654,0.38805413246154785,20210929
8,20.27283,-89.40654,0.5501201152801514,20210930
9,20.27283,-89.40654,0.8250051736831665,20211001
10,20.27283,-89.40654,0.6689655184745789,20211002
11,20.27283,-89.40654,0.5246800780296326,20211003
12,20.27283,-89.40654,0.8649118542671204,20211004
13,20.27283,-89.40654,0.5247315764427185,20211005
14,20.27283,-89.40654,0.4499584436416626,20211006
15,20.27283,-89.40654,0.8625891804695129,20211008
16,20.27283,-89.40654,0.3836727440357208,20211009
17,20.27283,-89.40654,0.46305322647094727,20211010
18,20.27283,-89.40654,0.5394436717033386,20211011
19,20.27283,-89.40654,0.8698033094406128,20211012
20,20.27283,-89.40654,0.8651115298271179,20211013
21,20.27283,-89.40654,0.8233299851417542,20211014
22,20.27283,-89.40654,0.35903534293174744,20211015
23,20.27283,-89.40654,0.7024561166763306,20211016
24,20.27283,-89.40654,0.6859070658683777,20211017
25,20.27283,-89.40654,0.47397586703300476,20211018
26,20.27283,-89.40654,0.27315419912338257,20211019
27,20.27283,-89.40654,0.8495475053787231,20211020
28,20.27283,-89.40654,0.09561116993427277,20211021
29,20.27283,-89.40654,0.5083367228507996,20211022
30,20.27283,-89.40654,0.4831378161907196,20211024
31,20.27283,-89.40654,0.6505593657493591,20211025
32,20.27283,-89.40654,0.5497259497642517,20211026
33,20.27283,-89.40654,0.6986989378929138,20211028
34,20.27283,-89.40654,0.4622243046760559,20211029
35,20.27283,-89.40654,0.46550875902175903,20211030
36,20.27283,-89.40654,0.739076554775238,20211031
37,20.27283,-89.40654,0.8394764065742493,20211101
38,20.27283,-89.40654,0.7258601188659668,20211102
39,20.27283,-89.40654,0.789577841758728,20211103
40,20.27283,-89.40654,0.7096859216690063,20211104
41,20.27283,-89.40654,0.619524359703064,20211105
42,20.27283,-89.40654,0.7182785868644714,20211106
43,20.27283,-89.40654,0.22978226840496063,20211107
44,20.27283,-89.40654,0.6480736136436462,20211109
45,20.27283,-89.40654,0.7073965072631836,20211110
46,20.27283,-89.40654,0.698858916759491,20211111
47,20.27283,-89.40654,0.2289302498102188,20211112
48,20.27283,-89.40654,0.24595066905021667,20211113
49,20.27283,-89.40654,0.3556137979030609,20211114
